,ID,SSR l,SSR m,SSR n,Population,Belonging to main population,Longitude,Latitude,Position Accuracy
1,192,10,5,7,Germany,TRUE,10.71203,50.69111,5
2,202,10,5,7,Germany,TRUE,13.33601,49.01014,20
3,203,10,5,7,Germany,TRUE,13.35824,49.06274,20
4,204,10,5,7,Germany,TRUE,13.30925,49.04922,15
5,205,10,5,7,Germany,TRUE,13.34578,49.04736,10
6,225,10,5,7,Germany,TRUE,11.32547,50.51053,5
7,250,10,5,7,Germany,TRUE,12.08733,50.63556,5
8,252,10,5,7,Germany,TRUE,12.08725,50.63564,5
9,254,9,5,8,Germany,TRUE,12.08719,50.63603,5
10,255,10,5,7,Germany,TRUE,12.08692,50.63478,5
11,256,10,5,7,Germany,TRUE,12.08697,50.63569,5
12,257,10,5,7,Germany,TRUE,12.08725,50.63572,5
13,262,13,3,4,Germany,TRUE,10.51817,51.75614,NA
14,263,10,5,7,Germany,TRUE,10.64433,51.75375,NA
15,264,10,5,7,Germany,TRUE,10.64692,51.79819,NA
16,265,10,5,7,Germany,TRUE,10.59131,51.76794,NA
17,267,9,5,7,Germany,TRUE,10.59028,51.80542,NA
18,268,10,5,7,Germany,TRUE,10.64361,51.80264,NA
19,269,10,5,7,Germany,TRUE,10.51208,51.75636,NA
20,270,10,5,7,Germany,TRUE,10.593,51.83692,NA
21,271,10,5,7,Germany,TRUE,10.74236,51.69661,NA
22,272,10,5,7,Germany,TRUE,13.3013,48.94405,10
23,279,10,5,7,Germany,TRUE,13.55312,48.92963,20
24,294,9,5,7,Germany,TRUE,10.66569,51.80561,NA
25,295,13,3,4,Germany,TRUE,10.59494,51.81636,NA
26,313,10,5,7,Germany,TRUE,10.59464,51.76719,NA
27,315,15,3,4,Germany,TRUE,10.59572,51.76681,NA
28,316,13,3,4,Germany,TRUE,10.59642,51.76669,NA
29,318,10,5,7,Germany,TRUE,10.59631,51.76672,NA
30,319,12,3,4,Germany,TRUE,10.59514,51.76703,NA
31,324,13,3,4,Germany,TRUE,10.59494,51.81636,NA
32,325,15,3,4,Germany,TRUE,10.59514,51.81661,NA
33,330,10,5,7,Germany,TRUE,10.60644,51.8085,NA
34,331,10,5,7,Germany,TRUE,10.64672,51.79878,NA
35,332,13,3,4,Germany,TRUE,10.58108,51.78064,NA
36,333,15,3,4,Germany,TRUE,10.58178,51.78292,NA
37,334,10,5,7,Germany,TRUE,10.62506,51.75911,NA
38,336,14,3,4,Germany,TRUE,10.60589,51.76306,NA
39,337,15,3,4,Germany,TRUE,10.70253,51.77772,NA
40,338,10,5,7,Germany,TRUE,10.70067,51.77692,NA
41,339,10,5,7,Germany,TRUE,10.70111,51.77681,NA
42,340,13,3,4,Germany,TRUE,10.70375,51.77822,NA
43,341,13,3,4,Germany,TRUE,10.70406,51.77836,NA
44,342,10,5,7,Germany,TRUE,10.70422,51.77847,NA
45,343,13,3,4,Germany,TRUE,10.59544,51.76689,NA
46,344,11,3,4,Germany,TRUE,10.59564,51.76683,NA
47,346,10,5,7,Germany,TRUE,10.59658,51.76667,NA
48,347,12,3,4,Germany,TRUE,10.59672,51.76661,NA
49,348,15,3,4,Germany,TRUE,10.59911,51.76603,NA
50,360,13,3,4,Germany,TRUE,10.59997,51.76564,NA
51,361,13,3,4,Germany,TRUE,10.60028,51.76553,NA
52,362,13,3,4,Germany,TRUE,10.60058,51.76542,NA
53,363,10,5,7,Germany,TRUE,10.60108,51.76514,NA
54,364,13,3,4,Germany,TRUE,10.60128,51.76506,NA
55,365,10,5,7,Germany,TRUE,10.60197,51.76481,NA
56,366,13,3,4,Germany,TRUE,10.60294,51.76433,NA
57,367,13,3,4,Germany,TRUE,10.60358,51.76406,NA
58,368,10,5,7,Germany,TRUE,10.70383,51.77828,NA
59,370,10,5,7,Germany,TRUE,10.70394,51.77825,NA
60,371,10,5,7,Germany,TRUE,10.59442,51.81056,NA
61,373,10,5,7,Germany,TRUE,10.59431,51.8105,NA
62,374,10,5,7,Germany,TRUE,10.59431,51.8105,NA
63,375,10,5,7,Germany,TRUE,10.59219,51.80889,NA
64,376,15,3,4,Germany,TRUE,10.59228,51.80894,NA
65,377,10,5,7,Germany,TRUE,10.59244,51.80908,NA
66,378,14,3,4,Germany,TRUE,10.59275,51.80936,NA
67,379,10,5,7,Germany,TRUE,10.59347,51.80989,NA
68,384,10,5,3,Alaska,TRUE,-148.97419,63.72456,NA
69,385,10,5,3,Alaska,TRUE,-148.97381,63.72442,NA
70,386,10,5,3,Alaska,TRUE,-148.9735,63.72442,NA
71,387,15,1,4,Alaska,TRUE,-148.97336,63.72456,NA
72,388,10,5,3,Alaska,TRUE,-148.97178,63.72417,NA
73,389,14,3,4,Alaska,TRUE,-148.9715,63.72422,NA
74,390,8,5,3,Alaska,TRUE,-148.97136,63.72411,NA
75,391,8,5,3,Alaska,TRUE,-148.97064,63.724,NA
76,392,14,3,4,Alaska,TRUE,-148.96917,63.72369,NA
77,393,11,3,4,Alaska,TRUE,-148.96864,63.72347,NA
78,394,11,3,4,Alaska,TRUE,-148.96825,63.72331,NA
79,395,13,3,4,Germany,TRUE,10.426669,51.888067,500
80,396,14,5,3,Germany,TRUE,10.406488,51.892782,300
81,397,14,3,4,Germany,TRUE,10.539343,51.801649,2000
82,420,14,3,4,Slovenia,FALSE,14.520664,46.175908,5000
83,441,10,5,7,Lithuania,TRUE,24.418,54.015,200000
84,465,14,3,4,Siberia.west.n,FALSE,69.03746,61.009092,20000
85,499,10,5,7,Lithuania,TRUE,24.55894,54.20467,25
86,501,10,5,7,Lithuania,TRUE,24.62789,54.3105,25
87,502,10,5,7,Lithuania,TRUE,24.62789,54.3105,25
88,503,10,5,7,Lithuania,TRUE,24.62789,54.3105,25
89,504,10,5,7,Lithuania,TRUE,24.63006,54.31056,25
90,507,10,5,7,Lithuania,TRUE,24.56556,54.25889,25
91,512,10,5,7,Lithuania,TRUE,24.60367,54.28586,25
92,516,10,5,7,Lithuania,TRUE,24.46242,54.24108,25
93,517,10,5,7,Lithuania,TRUE,24.48075,54.24272,25
94,518,10,5,7,Lithuania,TRUE,24.48075,54.24272,25
95,519,10,5,7,Lithuania,TRUE,24.48075,54.24272,25
96,520,10,5,7,Lithuania,TRUE,24.60367,54.28586,25
97,521,10,5,7,Lithuania,TRUE,24.60367,54.28586,25
98,522,10,5,7,Lithuania,TRUE,24.46242,54.24108,25
99,523,10,5,7,Lithuania,TRUE,24.46242,54.24108,25
100,524,10,5,7,Lithuania,TRUE,24.46242,54.24108,25
101,525,10,5,7,Lithuania,TRUE,24.46242,54.24108,25
102,526,10,5,7,Lithuania,TRUE,24.46242,54.24108,25
103,527,10,5,7,Lithuania,TRUE,24.46242,54.24108,25
104,528,10,5,7,Lithuania,TRUE,24.41344,54.02039,25
105,531,10,5,7,Lithuania,TRUE,24.41489,54.02106,25
106,542,10,5,7,Lithuania,TRUE,24.40686,54.02922,10
107,545,10,5,7,Lithuania,TRUE,24.40614,54.03758,10
108,546,10,5,7,Lithuania,TRUE,24.32206,54.18711,10
109,550,10,5,7,Lithuania,TRUE,24.32375,54.18658,10
110,555,10,5,7,Lithuania,TRUE,24.59883,54.28183,25
111,556,10,5,7,Lithuania,TRUE,24.59883,54.28183,25
112,557,10,5,7,Lithuania,TRUE,24.59883,54.28183,25
113,558,10,5,7,Lithuania,TRUE,24.59883,54.28183,25
114,560,10,5,7,Lithuania,TRUE,24.59883,54.28183,25
115,561,10,5,7,Lithuania,TRUE,24.59883,54.28183,25
116,562,10,5,7,Lithuania,TRUE,24.59883,54.28183,25
117,563,9,5,7,Lithuania,TRUE,24.27728,54.10694,10
118,564,10,5,7,Lithuania,TRUE,24.27633,54.10578,10
119,565,10,5,7,Lithuania,TRUE,24.30972,54.11406,10
120,567,13,3,4,Lithuania,TRUE,24.3115,54.11372,10
121,568,10,5,7,Lithuania,TRUE,24.31094,54.1125,10
122,569,10,5,7,Lithuania,TRUE,24.31108,54.11217,10
123,570,10,5,7,Lithuania,TRUE,24.31108,54.11217,10
124,571,11,3,4,Lithuania,TRUE,24.3115,54.11247,10
125,572,9,5,7,Lithuania,TRUE,24.31347,54.11172,10
126,573,10,5,7,Lithuania,TRUE,24.31397,54.11322,10
127,582,10,5,7,Lithuania,TRUE,24.53172,54.26411,10
128,583,10,5,7,Lithuania,TRUE,24.53319,54.26383,10
129,584,10,5,7,Lithuania,TRUE,24.53319,54.26383,10
130,599,10,5,7,Lithuania,TRUE,24.29157,54.10368,20
131,600,10,5,7,Lithuania,TRUE,24.4665,54.1373,500
132,601,14,3,4,Lithuania,TRUE,24.46679,54.13745,10
133,602,10,5,7,Lithuania,TRUE,24.46781,54.13869,10
134,603,10,5,7,Lithuania,TRUE,24.46895,54.11631,10
135,604,10,5,7,Lithuania,TRUE,24.4677,54.13842,10
136,606,10,5,7,Lithuania,TRUE,24.37958,54.09103,25
137,607,14,3,4,Lithuania,TRUE,24.60361,54.28611,200
138,608,14,3,4,Lithuania,TRUE,24.60361,54.28611,200
139,609,10,5,7,Lithuania,TRUE,24.30751,54.1125,10
140,610,10,5,7,Lithuania,TRUE,24.30569,54.11034,10
141,611,10,5,7,Lithuania,TRUE,24.30832,54.11138,10
142,612,10,5,7,Lithuania,TRUE,24.30832,54.11138,10
143,613,10,5,7,Lithuania,TRUE,24.30427,54.10806,10
144,614,10,5,7,Lithuania,TRUE,24.3076,54.10738,10
145,615,13,3,4,Lithuania,TRUE,24.30411,54.11004,10
146,616,10,5,7,Lithuania,TRUE,24.3032,54.10841,10
147,617,10,5,7,Lithuania,TRUE,24.2968,54.11205,10
148,618,10,5,7,Lithuania,TRUE,24.30247,54.12332,10
149,619,9,5,7,Lithuania,TRUE,24.30278,54.12271,10
150,621,10,5,7,Lithuania,TRUE,24.3138,54.11206,10
151,622,10,5,7,Lithuania,TRUE,24.31399,54.11173,10
152,623,10,5,7,Lithuania,TRUE,24.31324,54.11172,10
153,624,10,5,7,Lithuania,TRUE,24.31323,54.11154,10
154,625,9,5,7,Lithuania,TRUE,24.31359,54.11175,10
155,626,10,5,7,Lithuania,TRUE,24.31334,54.1114,10
156,627,10,5,7,Lithuania,TRUE,24.31231,54.11115,10
157,628,10,5,7,Lithuania,TRUE,24.31369,54.11141,10
158,629,10,5,7,Lithuania,TRUE,24.3119,54.11104,10
159,630,10,5,7,Lithuania,TRUE,24.31189,54.1111,25
160,631,10,5,7,Lithuania,TRUE,24.30625,54.17982,20
161,632,10,5,7,Lithuania,TRUE,24.30512,54.17817,20
162,633,14,3,4,Lithuania,TRUE,24.29219,54.16114,20
163,634,11,5,4,Lithuania,TRUE,24.29458,54.16515,10
164,635,10,5,7,Lithuania,TRUE,24.30339,54.17458,20
165,636,9,5,7,Lithuania,TRUE,24.29639,54.16657,20
166,637,10,5,7,Lithuania,TRUE,24.29343,54.16481,20
167,638,14,3,4,Alaska,TRUE,-148.966842,63.718892,750
168,639,11,3,4,Alaska,TRUE,-149.00686,63.71594,25
169,640,10,5,3,Alaska,TRUE,-149.24586,63.72983,10
170,641,12,3,4,Alaska,TRUE,-148.31339,64.74233,25
171,642,10,5,3,Alaska,TRUE,-148.97436,63.72453,20
172,643,10,5,3,Alaska,TRUE,-148.97283,63.72444,20
173,644,10,5,3,Alaska,TRUE,-148.97267,63.72442,20
174,645,14,3,4,Alaska,TRUE,-148.9725,63.72436,20
175,646,8,5,3,Alaska,TRUE,-148.97219,63.72431,15
176,648,14,3,4,Alaska,TRUE,-148.97164,63.72417,15
177,649,14,3,4,Alaska,TRUE,-148.971,63.72408,15
178,650,10,5,3,Alaska,TRUE,-148.97028,63.72394,20
179,651,10,5,3,Alaska,TRUE,-148.97022,63.72392,10
180,652,10,5,3,Alaska,TRUE,-148.97,63.72383,20
181,653,14,3,4,Kamtchatka,TRUE,158.71169,55.85686,15
182,654,13,3,4,Kamtchatka,TRUE,158.71139,55.85661,15
183,655,14,3,4,Kamtchatka,TRUE,158.71669,55.85581,15
184,656,14,3,4,Kamtchatka,TRUE,158.71544,55.85589,15
185,657,12,3,4,Kamtchatka,TRUE,158.71531,55.856,15
186,658,14,3,4,Kamtchatka,TRUE,158.71508,55.85611,15
187,659,13,3,4,Kamtchatka,TRUE,158.71506,55.85614,15
188,660,13,3,4,Kamtchatka,TRUE,158.71506,55.85619,15
189,661,15,3,4,Kamtchatka,TRUE,158.71506,55.85619,15
190,664,14,3,4,Kamtchatka,TRUE,158.71489,55.856,15
191,665,16,3,4,Kamtchatka,TRUE,158.71464,55.856,15
192,666,13,3,4,Kamtchatka,TRUE,158.71417,55.85658,15
193,667,13,3,4,Kamtchatka,TRUE,158.71403,55.85611,15
194,668,14,3,4,Kamtchatka,TRUE,158.71414,55.856,15
195,669,9,4,6,Kamtchatka,TRUE,158.71383,55.85633,15
196,670,14,3,4,Kamtchatka,TRUE,158.71356,55.85658,15
197,671,14,3,4,Kamtchatka,TRUE,158.7125,55.85672,15
198,672,12,3,4,Kamtchatka,TRUE,158.71292,55.85678,15
199,673,14,3,4,Kamtchatka,TRUE,158.71303,55.85667,15
200,674,14,3,4,Kamtchatka,TRUE,158.71239,55.85669,15
201,675,14,3,4,Kamtchatka,TRUE,158.70814,55.85875,15
202,676,12,3,4,Kamtchatka,TRUE,158.70797,55.85883,15
203,677,12,5,4,Kamtchatka,TRUE,158.71586,55.91192,15
204,678,14,3,4,Kamtchatka,TRUE,158.71603,55.91214,15
205,679,12,3,4,Kamtchatka,TRUE,158.71583,55.91214,15
206,680,13,3,4,Kamtchatka,TRUE,158.71578,55.91217,15
207,681,14,3,4,Kamtchatka,TRUE,158.71644,55.91244,15
208,682,13,3,4,Kamtchatka,TRUE,158.71656,55.91244,15
209,683,14,3,4,Kamtchatka,TRUE,158.71683,55.91253,15
210,684,13,3,4,Kamtchatka,TRUE,158.71683,55.91253,15
211,685,12,3,4,Kamtchatka,TRUE,158.71697,55.91244,100
212,686,12,3,4,Kamtchatka,TRUE,158.71692,55.91275,100
213,687,14,3,4,Kamtchatka,TRUE,158.71653,55.91289,100
214,688,11,3,4,Kamtchatka,TRUE,158.7165,55.91306,100
215,689,13,3,4,Kamtchatka,TRUE,158.68086,53.23033,15
216,690,14,3,4,Kamtchatka,TRUE,158.73006,53.25769,100
217,691,14,3,4,Kamtchatka,TRUE,158.73494,53.25261,15
218,692,14,3,4,Kamtchatka,TRUE,158.67811,53.22983,15
219,693,12,3,4,Kamtchatka,TRUE,158.53978,53.20514,50
220,694,14,3,4,Kamtchatka,TRUE,158.53978,53.20514,50
221,697,12,3,4,Ural,FALSE,67.76625,67.69972,20
222,701,13,3,4,Kamtchatka,TRUE,166.3,60,10000
223,702,13,3,4,Kamtchatka,TRUE,166.3,60,10000
224,703,13,3,4,Kamtchatka,TRUE,166.3,60,10000
225,704,14,3,4,Kamtchatka,TRUE,166.3,60,10000
226,705,14,3,4,Kamtchatka,TRUE,166.3,60,10000
227,706,14,1,4,Kamtchatka,TRUE,166.3,60,10000
228,707,11,3,4,Kamtchatka,TRUE,166.3,60,10000
229,708,14,3,4,Kamtchatka,TRUE,166.3,60,10000
230,709,13,3,4,Kamtchatka,TRUE,166.3,60,10000
231,710,14,3,4,Kamtchatka,TRUE,166.3,60,10000
232,711,11,3,4,Kamtchatka,TRUE,166.3,60,10000
233,712,14,3,4,Kamtchatka,TRUE,166.3,60,10000
234,713,14,1,4,Kamtchatka,TRUE,166.3,60,10000
235,714,13,3,4,Kamtchatka,TRUE,158.76697,55.2875,20
236,715,16,3,4,Kamtchatka,TRUE,158.78019,55.31292,20
237,716,13,3,4,Kamtchatka,TRUE,158.31286,55.49075,20
238,717,13,3,4,Kamtchatka,TRUE,158.92678,55.43344,20
239,718,10,5,7,Siberia.west.s,FALSE,81.22306,54.06056,NA
240,719,12,3,4,Moscow,FALSE,33.20817,64.53175,NA
241,720,10,5,7,St.Petersburg,FALSE,29.95833,60.13194,NA
242,734,12,3,4,Kamtchatka,TRUE,158.7,55.9,2000
243,735,14,3,4,Kamtchatka,TRUE,158.7,55.9,2000
244,736,14,3,4,Kamtchatka,TRUE,158.7,55.9,2000
245,737,14,3,4,Kamtchatka,TRUE,158.64336,55.94475,20